"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
2.382748751E0;2.051812592E2;3.404625244E2;1.136437531E2;4.134355842E2
2.392748751E0;2.054812622E2;3.403687744E2;1.138125076E2;4.135537917E2
2.402748751E0;2.055562592E2;3.403500061E2;1.139250031E2;4.136065868E2
2.412748751E0;2.055000153E2;3.405187683E2;1.138875046E2;4.137072051E2
2.422748751E0;2.054812622E2;3.406875000E2;1.139625015E2;4.138574314E2
2.432748751E0;2.052562561E2;3.406500244E2;1.137562561E2;4.136581386E2
2.442748751E0;2.050875092E2;3.404250183E2;1.137000046E2;4.133736452E2
2.452748751E0;2.048625031E2;3.402000122E2;1.137750015E2;4.130973789E2
2.462748751E0;2.049187622E2;3.401437683E2;1.137375031E2;4.130686406E2
2.472748751E0;2.044500122E2;3.401812744E2;1.133812561E2;4.127692045E2
2.482748751E0;2.042812653E2;3.402187500E2;1.129687576E2;4.126034093E2
2.492748751E0;2.043000031E2;3.400875244E2;1.127812576E2;4.124531823E2
2.502748751E0;2.042812653E2;3.398062744E2;1.127437515E2;4.122017625E2
2.512748751E0;2.045250092E2;3.397687683E2;1.128750076E2;4.123276157E2
2.522748751E0;2.045250092E2;3.399000244E2;1.130625076E2;4.124871351E2
2.532748751E0;2.045812531E2;3.398062744E2;1.130250015E2;4.124275018E2
2.542748751E0;2.043750153E2;3.398062744E2;1.132125015E2;4.123766743E2
2.552748751E0;2.046375122E2;3.397312622E2;1.134937515E2;4.125223310E2
2.562748751E0;2.047875061E2;3.397312622E2;1.137750015E2;4.126742107E2
2.572748751E0;2.048250122E2;3.398250122E2;1.141125031E2;4.128631588E2
2.582748751E0;2.046937561E2;3.401062622E2;1.140000076E2;4.129985534E2
2.592748751E0;2.045625153E2;3.401062622E2;1.140000076E2;4.129335225E2
2.602748751E0;2.045625153E2;3.398250122E2;1.139062576E2;4.126760195E2
2.612748751E0;2.045812531E2;3.399562683E2;1.141125031E2;4.128503564E2
2.622748751E0;2.048250122E2;3.400500183E2;1.140562515E2;4.130328426E2
2.632748751E0;2.047875061E2;3.400687561E2;1.139437561E2;4.129986212E2
2.642748751E0;2.047500153E2;3.401250000E2;1.140562515E2;4.130573966E2
2.652748751E0;2.048625031E2;3.400500183E2;1.140375061E2;4.130462600E2
2.662748751E0;2.048812561E2;3.401062622E2;1.144125061E2;4.132055424E2
2.672748751E0;2.047875061E2;3.400875244E2;1.144875031E2;4.131644168E2
2.682748751E0;2.049000092E2;3.400500183E2;1.144875031E2;4.131893235E2
2.692748751E0;2.049000092E2;3.399937744E2;1.143375015E2;4.131014944E2
2.702748751E0;2.049187622E2;3.399750061E2;1.144125061E2;4.131161162E2
2.712748751E0;2.048625031E2;3.400500183E2;1.143375015E2;4.131291860E2
2.722748751E0;2.049000092E2;3.400312500E2;1.144125061E2;4.131531027E2
2.732748751E0;2.048062592E2;3.401625061E2;1.143187561E2;4.131887128E2
2.742748751E0;2.049000092E2;3.399375000E2;1.142250061E2;4.130240546E2
2.752748751E0;2.050875092E2;3.400312500E2;1.142812576E2;4.132098053E2
2.762748751E0;2.051062622E2;3.402375183E2;1.143562546E2;4.134096039E2
2.772748751E0;2.051812592E2;3.404437561E2;1.143750076E2;4.136217385E2
2.782748751E0;2.052000122E2;3.401625061E2;1.145812531E2;4.134566956E2
2.792748751E0;2.053125153E2;3.402375183E2;1.147500076E2;4.136210367E2
2.802748751E0;2.053312531E2;3.401812744E2;1.147312546E2;4.135788724E2
2.812748751E0;2.054437561E2;3.400312500E2;1.149000015E2;4.135582163E2
2.822748751E0;2.053500061E2;3.400687561E2;1.148437576E2;4.135268704E2
2.832748751E0;2.055750122E2;3.399750061E2;1.148625031E2;4.135667842E2
2.842748751E0;2.054437561E2;3.398812561E2;1.148812561E2;4.134296895E2
2.852748751E0;2.056312561E2;3.397875061E2;1.150500031E2;4.134927641E2
2.862748751E0;2.054250031E2;3.399937744E2;1.146750031E2;4.134556262E2
2.872748751E0;2.053312531E2;3.399000244E2;1.147125015E2;4.133423618E2
2.882748751E0;2.053875122E2;3.399375000E2;1.148625031E2;4.134427756E2
2.892748751E0;2.052937622E2;3.400312500E2;1.149000015E2;4.134837241E2
2.902748751E0;2.051812592E2;3.401437683E2;1.147875061E2;4.134891822E2
2.912748751E0;2.049750061E2;3.401625061E2;1.147312546E2;4.133866767E2
2.922748751E0;2.051812592E2;3.400875244E2;1.148625031E2;4.134637445E2
2.932748751E0;2.049937592E2;3.400875244E2;1.148625031E2;4.133707297E2
2.942748751E0;2.050687561E2;3.399750061E2;1.151250076E2;4.133883971E2
2.952748751E0;2.050312653E2;3.399375000E2;1.150875015E2;4.133285094E2
2.962748751E0;2.049937592E2;3.399187622E2;1.148250046E2;4.132214756E2
2.972748751E0;2.049562531E2;3.397875061E2;1.146375046E2;4.130428215E2
2.982748751E0;2.050875092E2;3.395437622E2;1.148250046E2;4.129596040E2
2.992748751E0;2.050687561E2;3.394312744E2;1.148062515E2;4.128525889E2
3.002748751E0;2.048812561E2;3.394312744E2;1.147125015E2;4.127334214E2
3.012748751E0;2.048437653E2;3.394875183E2;1.146187515E2;4.127350257E2
3.022748751E0;2.047500153E2;3.394500122E2;1.145062561E2;4.126264197E2
3.032748751E0;2.047500153E2;3.394500122E2;1.144500046E2;4.126108131E2
3.042748751E0;2.047875061E2;3.393562622E2;1.144500046E2;4.125522984E2
3.052748751E0;2.048062592E2;3.394312744E2;1.144312515E2;4.126181106E2
3.062748751E0;2.047687531E2;3.395812683E2;1.142062531E2;4.126605727E2
